"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","22.95","23.00","23.02","22.73","559.97K","-0.17%"
"06/23/2026","22.99","23.27","23.27","22.82","610.14K","-0.61%"
"06/22/2026","23.13","23.54","23.54","23.02","691.98K","-1.36%"
"06/21/2026","23.45","23.55","23.65","23.20","942.42K","-0.13%"
"06/17/2026","23.48","23.24","23.50","23.04","1.09M","1.29%"
"06/16/2026","23.18","23.07","23.30","23.01","546.57K","0.22%"
"06/15/2026","23.13","23.32","23.45","23.04","629.55K","-0.39%"
"06/14/2026","23.22","23.35","23.51","23.08","969.34K","1.00%"
"06/11/2026","22.99","23.13","23.13","22.65","1.55M","-0.73%"
"06/10/2026","23.16","23.82","23.94","23.14","1.09M","-2.89%"
"06/09/2026","23.85","23.80","23.85","23.65","1.44M","1.06%"
"06/08/2026","23.60","23.69","23.85","23.20","1.56M","-0.84%"
"06/07/2026","23.80","23.34","23.95","23.25","1.66M","1.28%"
"06/04/2026","23.50","23.82","23.84","23.41","945.40K","-1.18%"
"06/03/2026","23.78","24.02","24.18","23.55","2.35M","-0.92%"
"06/02/2026","24.00","23.28","24.30","23.25","6.89M","3.23%"
"06/01/2026","23.25","22.85","23.28","22.84","2.70M","2.60%"
"05/25/2026","22.66","22.29","22.69","22.12","2.33M","1.84%"
"05/24/2026","22.25","21.98","22.35","21.87","1.31M","2.53%"
"05/21/2026","21.70","21.77","22.00","21.65","1.37M","0.37%"
"05/20/2026","21.62","22.17","22.17","21.60","1.79M","-1.95%"
"05/19/2026","22.05","22.25","22.28","22.03","1.06M","-0.14%"
"05/18/2026","22.08","22.17","22.30","21.91","2.68M","-4.62%"
"05/17/2026","23.15","23.37","23.37","23.13","2.20M","-1.07%"
"05/14/2026","23.40","23.49","23.49","23.32","1.15M","-0.13%"
"05/13/2026","23.43","23.61","23.65","23.30","1.99M","-0.55%"
"05/12/2026","23.56","23.75","23.77","23.53","1.22M","-0.38%"
"05/11/2026","23.65","23.90","23.90","23.54","2.06M","-0.38%"
"05/10/2026","23.74","23.50","23.82","23.45","2.19M","1.67%"
"05/06/2026","23.35","23.42","23.49","23.24","1.56M","0.21%"
"05/05/2026","23.30","23.30","23.40","23.12","1.37M","0.09%"
"05/04/2026","23.28","23.14","23.59","23.10","3.52M","0.78%"
"05/03/2026","23.10","23.13","23.15","22.97","1.97M","0.65%"
"04/30/2026","22.95","23.22","23.25","22.92","2.48M","-0.91%"
"04/29/2026","23.16","23.11","23.20","22.93","1.99M","0.70%"
"04/28/2026","23.00","23.00","23.24","22.85","2.88M","0.44%"
"04/27/2026","22.90","23.28","23.28","22.83","2.36M","0.57%"
"04/26/2026","22.77","22.94","23.10","22.75","1.84M","0.09%"
"04/23/2026","22.75","22.83","22.84","22.60","1.67M","0.09%"
"04/22/2026","22.73","22.95","22.95","22.65","1.41M","-0.31%"
"04/21/2026","22.80","22.82","23.00","22.78","899.31K","0.00%"
"04/20/2026","22.80","22.88","22.88","22.72","711.53K","0.09%"
"04/19/2026","22.78","22.98","22.98","22.72","722.38K","-0.09%"
"04/16/2026","22.80","23.00","23.30","22.65","1.93M","-0.57%"
"04/15/2026","22.93","22.97","23.16","22.86","1.25M","0.13%"
"04/14/2026","22.90","22.64","22.93","22.55","798.11K","0.93%"
"04/12/2026","22.69","22.63","22.69","22.69","982.09K","0.00%"
"04/09/2026","22.69","22.69","22.93","22.55","982.09K","0.27%"
"04/08/2026","22.63","22.75","22.85","22.53","865.81K","1.48%"
"04/07/2026","22.30","22.63","22.63","22.02","486.94K","-1.28%"
"04/06/2026","22.59","22.59","22.71","22.50","456.42K","0.85%"
"04/05/2026","22.40","22.48","22.50","22.27","497.32K","1.04%"
"04/02/2026","22.17","22.34","22.34","22.03","321.61K","-0.49%"
"04/01/2026","22.28","22.19","22.53","22.06","949.73K","1.50%"
"03/31/2026","21.95","22.08","22.50","21.70","953.75K","-0.05%"
"03/30/2026","21.96","22.17","22.20","21.88","992.68K","-0.18%"
"03/29/2026","22.00","22.48","22.48","21.92","1.60M","-1.79%"
"03/26/2026","22.40","22.76","22.76","22.27","1.08M","-1.32%"
"03/25/2026","22.70","22.64","22.75","22.57","351.75K","0.58%"
"03/24/2026","22.57","22.94","22.94","22.42","468.84K","0.71%"
"03/18/2026","22.41","22.43","22.54","22.30","862.10K","0.72%"
"03/17/2026","22.25","22.25","22.45","22.15","360.17K","0.68%"
"03/16/2026","22.10","22.60","22.63","22.01","696.86K","-1.78%"
"03/15/2026","22.50","22.89","22.90","22.46","1.73M","-1.66%"
"03/12/2026","22.88","22.97","22.97","22.65","577.22K","0.04%"
"03/11/2026","22.87","23.17","23.17","22.75","756.42K","-0.82%"
"03/10/2026","23.06","23.14","23.30","23.00","695.42K","0.26%"
"03/09/2026","23.00","23.10","23.49","22.95","2.49M","0.00%"
"03/08/2026","23.00","22.49","23.00","22.25","1.25M","3.00%"
"03/05/2026","22.33","22.25","22.64","22.07","968.25K","1.45%"
"03/04/2026","22.01","22.32","22.32","21.80","1.39M","0.50%"
"03/03/2026","21.90","22.02","22.18","21.50","749.59K","-0.45%"
"03/02/2026","22.00","21.97","22.17","21.81","529.04K","0.50%"
"03/01/2026","21.89","21.86","22.13","21.01","1.03M","-3.78%"
"02/26/2026","22.75","22.69","22.87","22.30","666.50K","-0.22%"
"02/25/2026","22.80","22.95","22.95","21.93","1.48M","1.29%"
"02/24/2026","22.51","22.97","22.97","22.51","671.13K","-1.62%"
