filename,ticker,matched_company_name,confidence
Universal Co Packaging Stock Price History.csv,UNIP.CA,Universal Co Packaging,1
United Housing&Develop Stock Price History.csv,UNIT.CA,United Housing&Develop,0.67
Union Pharmacist Company for Medical Services and  Stock Price History.csv,UPMS.CA,Union Pharmacist Company for Medical Services and,1
UTOPIA Stock Price History.csv,UTOP.CA,UTOPIA,1
U Consumer Finance Stock Price History.csv,VALU.CA,U Consumer Finance,1
Vertika Stock Price History.csv,VERT.CA,Vertika,1
Alexandria National Co Stock Price History.csv,TYCN.CA,Alexandria National Co,1
Saudi Egyptian Inv&Fin Stock Price History.csv,SEIG.CA,Saudi Egyptian Inv&Fin,0.67
Wadi Kom Ombo Land Stock Price History.csv,WKOL.CA,Wadi Kom Ombo Land,1
Extracted Oils Stock Price History.csv,ZEOT.CA,Extracted Oils,1
Zahraa Maadi Stock Price History.csv,ZMID.CA,Zahraa Maadi,1
AALR Stock Price History.csv,AALR.CA,,
ALICO Stock Price History.csv,RREI.CA,,
APP Stock Price History.csv,APPC.CA,,
BIG Stock Price History.csv,BIGP.CA,,
DAPH Stock Price History.csv,DAPH.CA,,
EASB Stock Price History.csv,EASB.CA,,
EDBE Stock Price History.csv,EXPA.CA,,
EIPICO Stock Price History.csv,PHAR.CA,,
FCMD Stock Price History.csv,FCMD.CA,,
GIHD Stock Price History.csv,GIHD.CA,,
ICFC Stock Price History.csv,ICFC.CA,,
IncoLEASE Stock Price History.csv,ICLE.CA,,
Valmore Holding A Stock Price History.csv,VLMRA.CA,Valmore Holding A,1
NHPS Stock Price History.csv,NHPS.CA,,
Pachin Stock Price History.csv,PACH.CA,,
RTVC Stock Price History.csv,RTVC.CA,,
SAIB Stock Price History.csv,SAIB.CA,,
Valmore Holding Stock Price History.csv,VLMR.CA,Valmore Holding,1
SPINALEX Stock Price History.csv,SPIN.CA,,
